City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Vila Velha,BR,75.2,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
7,Hilo,US,73.0,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
10,Tual,ID,83.62,few clouds,-5.6667,132.75,Grand Vilia Hotel
11,Puerto Ayora,EC,77.0,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,Katherine,AU,82.4,overcast clouds,-14.4667,132.2667,Pine Tree Motel
17,Rikitea,PF,77.95,clear sky,-23.1203,-134.9692,Pension Maro'i
21,Vaini,TO,77.0,overcast clouds,-21.2,-175.2,Keleti Beach Resort
22,Salalah,OM,75.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
26,Atuona,PF,80.69,overcast clouds,-9.8,-139.0333,Villa Enata
30,Lincoln,US,73.4,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
32,Kapaa,US,78.8,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
34,Rio Grande,BR,70.0,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
36,Alofi,NU,84.2,scattered clouds,-19.0595,-169.9187,Taloa Heights
38,Padang,ID,78.8,overcast clouds,-0.9492,100.3543,Mercure Padang
40,Namibe,AO,77.32,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
41,Yulara,AU,78.8,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
46,Tura,IN,74.68,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
48,Katsuura,JP,70.0,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
61,Carnarvon,AU,80.6,clear sky,-24.8667,113.6333,Hospitality Carnarvon
69,Miranda,CO,77.0,scattered clouds,3.2499,-76.2281,unidiversidad organica la utopia
73,Quixada,BR,73.15,few clouds,-4.9714,-39.0153,Hotel Vale das Pedras
74,Teahupoo,PF,86.0,light rain,-17.8333,-149.2667,Vanira Lodge
78,Santiago Del Estero,AR,76.39,overcast clouds,-27.7951,-64.2615,Apartamentos Castelli 90
82,Kavieng,PG,84.29,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
87,Georgetown,MY,80.6,few clouds,5.4112,100.3354,Cititel Penang
88,Port Moresby,PG,82.4,broken clouds,-9.4431,147.1797,Lamana Hotel
89,Itarema,BR,79.45,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
90,Gariaband,IN,72.48,clear sky,20.635,82.0614,हंसराज ट्रैक्टर
94,Vao,NC,75.74,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
103,Marawi,PH,77.38,overcast clouds,7.9986,124.2928,Derogongan Residence
104,Pisco,PE,73.4,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
106,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
110,Saint George,US,84.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
114,Hasaki,JP,72.0,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
115,Tarrafal,CV,75.2,clear sky,15.2833,-23.7667,Hotel Ixola
118,Labuhan,ID,82.63,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
122,Avarua,CK,84.2,overcast clouds,-21.2078,-159.775,Paradise Inn
123,Amarillo,US,73.4,clear sky,35.222,-101.8313,Microtel Inn & Suites by Wyndham Amarillo
124,Tautira,PF,86.0,light rain,-17.7333,-149.15,Pension Oaoa
126,Bilma,NE,71.83,few clouds,18.6853,12.9164,Expeditions Ténére voyages
130,Nortelandia,BR,77.25,broken clouds,-14.4547,-56.8028,Hotel Karysmã
131,Pochutla,MX,87.8,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
132,Akyab,MM,80.76,scattered clouds,20.15,92.9,Hotel Memory
134,Ternate,ID,83.48,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
136,San Andres,CO,82.4,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
138,Sinnamary,GF,77.59,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
141,Hithadhoo,MV,83.5,clear sky,-0.6,73.0833,Scoop Guest House
144,Faanui,PF,82.56,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
147,Butaritari,KI,82.78,light rain,3.0707,172.7902,Isles Sunset Lodge
148,Denpasar,ID,84.2,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
151,Victoria,HK,80.01,clear sky,22.2855,114.1577,Mini Hotel Central
152,Port Blair,IN,80.74,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
155,Wanning,CN,80.51,clear sky,18.8003,110.3967,Paradise Hotel
161,Touros,BR,75.2,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
162,Salinopolis,BR,77.49,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
166,Oistins,BB,78.8,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
170,Naze,JP,71.6,few clouds,28.3667,129.4833,奄美ポートタワーホテル
173,Pathein,MM,78.4,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
179,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
182,Davila,PH,80.6,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
187,Tuy Hoa,VN,80.69,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
197,Kulhudhuffushi,MV,83.88,clear sky,6.6221,73.07,Haajy Guest House 1
200,Cayenne,GF,79.0,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
