City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Youghal,IE,51.95,-7.8506,41.0,87,20,6.91,few clouds
1,Lavrentiya,RU,65.5833,-171.0,6.12,89,100,10.4,overcast clouds
2,Busselton,AU,-33.65,115.3333,64.99,89,100,5.01,light rain
3,Quthing,LS,-30.4,27.7003,53.37,51,3,2.06,clear sky
4,Qaanaaq,GL,77.484,-69.3632,-20.63,77,35,7.47,scattered clouds
5,Vila Velha,BR,-20.3297,-40.2925,75.2,88,75,4.61,broken clouds
6,Bilibino,RU,68.0546,166.4372,1.08,75,26,0.49,scattered clouds
7,Hilo,US,19.7297,-155.09,73.0,83,90,11.5,moderate rain
8,Cape Town,ZA,-33.9258,18.4232,66.0,94,75,6.91,broken clouds
9,Port Alfred,ZA,-33.5906,26.891,60.98,82,1,10.98,clear sky
10,Tual,ID,-5.6667,132.75,83.62,69,19,3.69,few clouds
11,Puerto Ayora,EC,-0.7393,-90.3518,77.0,94,48,5.99,scattered clouds
12,Lagoa,PT,39.05,-27.9833,60.03,88,79,30.53,broken clouds
13,Skjervoy,NO,70.0311,20.9714,32.67,87,100,27.74,light snow
14,Lienz,AT,46.8289,12.769,25.0,72,25,6.13,scattered clouds
15,Katherine,AU,-14.4667,132.2667,82.4,61,100,12.66,overcast clouds
16,Albany,US,42.6001,-73.9662,41.0,36,40,8.05,scattered clouds
17,Rikitea,PF,-23.1203,-134.9692,77.95,62,3,17.49,clear sky
18,Ushuaia,AR,-54.8,-68.3,39.2,75,40,20.71,scattered clouds
19,College,US,64.8569,-147.8028,28.0,80,90,3.0,mist
20,Wuning,CN,29.2589,120.2311,52.39,88,100,6.55,overcast clouds
21,Vaini,TO,-21.2,-175.2,77.0,78,90,9.22,overcast clouds
22,Salalah,OM,17.0151,54.0924,75.2,73,0,4.61,clear sky
23,Barrow,US,71.2906,-156.7887,-11.2,77,1,5.75,clear sky
24,Coquimbo,CL,-29.9533,-71.3436,59.0,88,90,6.91,overcast clouds
25,Adrar,MR,20.5022,-10.0711,79.23,22,32,8.12,scattered clouds
26,Atuona,PF,-9.8,-139.0333,80.69,73,100,11.01,overcast clouds
27,Mataura,NZ,-46.1927,168.8643,60.01,90,92,14.0,light rain
28,Chapleau,CA,47.8405,-83.4034,46.4,39,1,4.61,clear sky
29,Lompoc,US,34.6391,-120.4579,60.8,55,5,12.66,clear sky
30,Lincoln,US,40.8,-96.667,73.4,20,1,6.91,clear sky
31,Talnakh,RU,69.4865,88.3972,-11.69,80,6,9.82,clear sky
32,Kapaa,US,22.0752,-159.319,78.8,65,75,19.57,light rain
33,Henties Bay,NA,-22.116,14.2845,64.0,85,1,1.01,clear sky
34,Rio Grande,BR,-32.035,-52.0986,70.0,92,0,1.01,clear sky
35,Lake Cowichan,CA,48.825,-124.0546,53.6,66,90,8.05,overcast clouds
36,Alofi,NU,-19.0595,-169.9187,84.2,74,27,10.36,scattered clouds
37,Antofagasta,CL,-23.65,-70.4,64.4,72,90,5.75,overcast clouds
38,Padang,ID,-0.9492,100.3543,78.8,65,90,5.75,overcast clouds
39,Dimitrovgrad,RU,54.2139,49.6184,33.8,100,90,11.18,light rain and snow
40,Namibe,AO,-15.1961,12.1522,77.32,83,32,4.54,scattered clouds
41,Yulara,AU,-25.2406,130.9889,78.8,31,0,18.41,clear sky
42,Yellowknife,CA,62.456,-114.3525,10.0,61,75,6.91,broken clouds
43,Atbasar,KZ,51.8,68.3333,31.48,83,100,12.28,overcast clouds
44,Solnechnyy,RU,50.7214,136.6319,31.82,36,1,7.34,clear sky
45,Yeniseysk,RU,58.4497,92.1703,32.79,85,100,6.44,overcast clouds
46,Tura,IN,25.5198,90.2201,74.68,17,0,2.06,clear sky
47,Gasa,PS,31.5,34.4667,54.0,82,0,3.44,clear sky
48,Katsuura,JP,35.1333,140.3,70.0,71,95,5.01,overcast clouds
49,Laguna,US,38.421,-121.4238,66.0,48,1,11.5,clear sky
50,Vestmanna,FO,62.1564,-7.1664,44.6,87,75,27.63,broken clouds
51,Ubrique,ES,36.6778,-5.446,60.8,93,0,2.3,clear sky
52,Sayyan,YE,15.1718,44.3244,55.6,19,6,1.21,clear sky
53,Khandyga,RU,62.6667,135.6,1.54,89,100,0.87,overcast clouds
54,Tasiilaq,GL,65.6145,-37.6368,17.6,53,0,16.11,clear sky
55,Hobart,AU,-42.8794,147.3294,66.2,37,40,17.27,scattered clouds
56,Rocha,UY,-34.4833,-54.3333,59.88,93,0,4.34,clear sky
57,Dikson,RU,73.5069,80.5464,-14.98,83,97,5.64,overcast clouds
58,Bocaiuva,BR,-17.1078,-43.815,68.95,91,100,2.53,light rain
59,Te Anau,NZ,-45.4167,167.7167,55.74,93,100,7.4,light rain
60,Jelenia Gora,PL,50.8997,15.729,35.01,92,92,15.99,overcast clouds
61,Carnarvon,AU,-24.8667,113.6333,80.6,44,0,14.97,clear sky
62,General Roca,AR,-39.0333,-67.5833,68.0,77,0,7.96,clear sky
63,Berlevag,NO,70.8578,29.0864,33.12,90,100,19.08,light snow
