City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2021-03-30 21:03:14,-33.9258,18.4232,64.0,88,0,6.91
1,Upernavik,GL,2021-03-30 21:03:14,72.7868,-56.1549,20.14,71,100,7.43
2,Punta Arenas,CL,2021-03-30 21:03:15,-53.15,-70.9167,53.6,50,0,17.27
3,Avarua,CK,2021-03-30 21:03:15,-21.2078,-159.775,80.6,83,40,10.36
4,Yellowknife,CA,2021-03-30 21:03:15,62.456,-114.3525,10.99,60,75,16.11
5,Nouakchott,MR,2021-03-30 21:03:15,18.0858,-15.9785,68.0,77,22,13.8
6,Adrar,MR,2021-03-30 21:03:16,20.5022,-10.0711,84.38,8,15,8.7
7,Ushuaia,AR,2021-03-30 21:01:46,-54.8,-68.3,48.2,61,20,24.16
8,Mirnyy,RU,2021-03-30 21:03:16,62.5353,113.9611,11.84,96,98,4.09
9,Jamestown,US,2021-03-30 21:03:16,42.097,-79.2353,66.2,24,1,21.85
10,Albany,US,2021-03-30 21:03:17,42.6001,-73.9662,63.0,25,24,7.0
11,Half Moon Bay,US,2021-03-30 21:03:17,37.4636,-122.4286,73.4,32,1,12.66
12,Aylesbury,GB,2021-03-30 21:03:17,51.8167,-0.8146,52.0,66,1,5.21
13,Cidreira,BR,2021-03-30 21:03:17,-30.1811,-50.2056,69.91,75,25,13.38
14,Mataura,NZ,2021-03-30 21:03:18,-46.1927,168.8643,55.99,98,96,1.01
15,Nome,US,2021-03-30 21:03:18,64.5011,-165.4064,15.8,79,90,5.75
16,Ludvika,SE,2021-03-30 21:03:18,60.1496,15.1878,51.01,87,90,10.36
17,Wynyard,AU,2021-03-30 21:03:19,-41.0,145.7167,54.03,87,21,5.1
18,Castro,BR,2021-03-30 21:03:19,-24.7911,-50.0119,62.31,96,93,3.6
19,Barrow,US,2021-03-30 21:03:19,71.2906,-156.7887,-5.8,65,1,28.77
20,Nouadhibou,MR,2021-03-30 21:03:19,20.931,-17.0347,64.4,88,0,10.36
21,Cabo San Lucas,MX,2021-03-30 20:58:27,22.8909,-109.9124,80.01,36,1,9.22
22,Kahului,US,2021-03-30 21:03:20,20.8947,-156.47,82.4,57,40,18.41
23,Salinopolis,BR,2021-03-30 21:03:20,-0.6136,-47.3561,78.42,88,100,9.13
24,Bonthe,SL,2021-03-30 21:03:20,7.5264,-12.505,79.32,84,83,6.82
25,Coquimbo,CL,2021-03-30 21:00:16,-29.9533,-71.3436,64.4,68,0,12.66
26,Guasdualito,VE,2021-03-30 21:00:20,7.2424,-70.7324,84.09,57,100,7.4
27,Sidi Ali,DZ,2021-03-30 21:03:21,36.0998,0.4206,64.51,40,99,9.08
28,Chernyshevskiy,RU,2021-03-30 21:03:21,63.0128,112.4714,-0.02,99,99,4.29
29,Qaanaaq,GL,2021-03-30 21:03:21,77.484,-69.3632,-1.26,72,100,5.79
30,Busselton,AU,2021-03-30 21:03:13,-33.65,115.3333,57.99,96,34,5.01
31,Doha,QA,2021-03-30 21:03:22,25.2867,51.5333,73.4,43,0,6.91
32,Butaritari,KI,2021-03-30 21:03:22,3.0707,172.7902,82.42,77,95,17.83
33,Inhambane,MZ,2021-03-30 21:03:22,-23.865,35.3833,69.8,74,0,5.68
34,Sitka,US,2021-03-30 21:03:23,57.0531,-135.33,39.2,87,90,9.22
35,Bathsheba,BB,2021-03-30 21:03:23,13.2167,-59.5167,80.6,57,20,23.02
36,Bredasdorp,ZA,2021-03-30 20:58:41,-34.5322,20.0403,59.0,88,0,6.91
37,Abu Dhabi,AE,2021-03-30 21:00:05,24.4667,54.3667,75.2,73,0,3.44
38,Manado,ID,2021-03-30 21:00:04,1.487,124.8455,77.0,94,40,2.3
39,Salamiyah,SY,2021-03-30 21:03:23,35.0113,37.0532,55.54,44,99,4.41
40,Puerto Ayora,EC,2021-03-30 21:03:24,-0.7393,-90.3518,82.4,74,20,4.61
41,Kavieng,PG,2021-03-30 20:59:52,-2.5744,150.7967,81.5,76,99,2.46
42,Saldanha,ZA,2021-03-30 21:03:24,-33.0117,17.9442,62.6,82,4,3.44
43,Saint-Pierre,RE,2021-03-30 21:03:24,-21.3393,55.4781,78.8,73,0,4.61
44,Port Elizabeth,ZA,2021-03-30 21:01:57,-33.918,25.5701,60.8,94,40,13.8
45,Faanui,PF,2021-03-30 21:03:25,-16.4833,-151.75,81.09,73,24,3.06
46,Provideniya,RU,2021-03-30 21:03:25,64.3833,-173.3,10.4,67,0,13.42
47,Marsa Matruh,EG,2021-03-30 21:03:25,31.3525,27.2453,59.0,63,20,6.91
48,Tuktoyaktuk,CA,2021-03-30 21:03:26,69.4541,-133.0374,-13.0,77,20,19.57
49,Praia Da Vitoria,PT,2021-03-30 21:03:26,38.7333,-27.0667,60.01,94,40,9.71
50,Rikitea,PF,2021-03-30 21:03:26,-23.1203,-134.9692,78.62,69,8,14.61
51,Moen,NO,2021-03-30 21:03:27,69.1304,18.6123,35.6,87,100,12.66
52,Tomatlan,MX,2021-03-30 21:03:27,19.9333,-105.25,93.02,21,1,13.13
53,Chake Chake,TZ,2021-03-30 21:02:15,-5.2459,39.7666,81.05,77,73,9.53
54,Ribeira Grande,PT,2021-03-30 21:03:27,38.5167,-28.7,59.0,82,75,5.75
55,East London,ZA,2021-03-30 21:03:28,-33.0153,27.9116,70.65,81,6,7.18
56,Nacogdoches,US,2021-03-30 21:03:28,31.6002,-94.6335,79.0,69,75,17.27
57,Vestmannaeyjar,IS,2021-03-30 21:03:28,63.4427,-20.2734,37.36,58,2,10.67
58,Amapa,BR,2021-03-30 21:03:29,1.0,-52.0,75.72,96,52,4.5
59,Karratha,AU,2021-03-30 21:03:29,-20.7377,116.8463,84.18,52,16,7.38
60,Vila Franca Do Campo,PT,2021-03-30 21:03:29,37.7167,-25.4333,59.0,88,20,8.05
61,Taua,BR,2021-03-30 21:03:29,-5.9667,-40.3,75.52,81,100,5.17
62,Camacha,PT,2021-03-30 21:03:30,33.0833,-16.3333,60.8,88,20,3.44
63,Bayir,TR,2021-03-30 21:03:30,37.2687,28.2167,46.4,53,0,5.75
64,Airai,TL,2021-03-30 21:03:30,-8.9266,125.4092,59.59,98,100,2.24
65,Hilo,US,2021-03-30 21:03:31,19.7297,-155.09,77.0,65,90,8.05
66,Ntungamo,UG,2021-03-30 21:03:31,-0.8833,29.65,63.75,94,100,2.48
67,Sao Paulo De Olivenca,BR,2021-03-30 21:03:31,-3.3783,-68.8725,72.54,99,100,1.03
68,Brae,GB,2021-03-30 21:03:31,60.3964,-1.353,42.8,93,75,6.91
69,Hinesville,US,2021-03-30 21:00:21,31.8469,-81.5959,75.0,78,90,9.22
70,Ilulissat,GL,2021-03-30 21:03:32,69.2167,-51.1,35.6,64,75,17.27
71,Ponta Do Sol,PT,2021-03-30 21:03:32,32.6667,-17.1,60.01,74,19,3.0
72,Leningradskiy,RU,2021-03-30 21:03:32,69.3833,178.4167,-3.69,88,99,9.62
73,Mar Del Plata,AR,2021-03-30 21:02:38,-38.0023,-57.5575,64.4,72,20,6.91
74,Cranbrook,CA,2021-03-30 21:00:09,49.4999,-115.7688,39.2,30,40,3.44
75,Kruisfontein,ZA,2021-03-30 21:03:33,-34.0033,24.7314,64.0,71,86,1.01
76,Vaini,TO,2021-03-30 21:03:33,-21.2,-175.2,84.2,79,40,9.22
77,Bethel,US,2021-03-30 20:58:57,41.3712,-73.414,59.0,31,1,13.8
78,Sainte-Rose,GP,2021-03-30 21:03:33,16.3324,-61.6979,78.8,78,75,12.66
79,Sawang Daen Din,TH,2021-03-30 21:03:34,17.4753,103.4575,89.01,52,98,4.63
80,Saskylakh,RU,2021-03-30 21:03:34,71.9167,114.0833,-29.58,100,100,6.58
81,Khandbari,NP,2021-03-30 21:03:34,27.3747,87.2039,62.22,40,8,4.21
82,Ipameri,BR,2021-03-30 20:59:23,-17.7219,-48.1597,68.86,87,45,3.27
83,Clyde River,CA,2021-03-30 21:03:35,70.4692,-68.5914,-2.2,92,90,31.07
84,Komsomolets,KZ,2021-03-30 21:03:35,53.7453,62.0708,7.7,98,91,7.63
85,Marang,MY,2021-03-30 21:03:35,5.2056,103.2059,80.6,89,40,2.3
86,Tefe,BR,2021-03-30 21:03:36,-3.3542,-64.7114,82.4,78,75,9.22
87,Tahta,EG,2021-03-30 21:03:36,26.7693,31.5021,64.4,39,0,13.8
88,Tazovskiy,RU,2021-03-30 21:03:36,67.4667,78.7,-25.42,96,5,7.29
89,Ziro,IN,2021-03-30 21:03:36,27.6333,93.8333,48.54,76,99,2.3
90,Sinnamary,GF,2021-03-30 21:01:11,5.3833,-52.95,78.1,86,88,13.8
91,Carnarvon,AU,2021-03-30 21:03:37,-24.8667,113.6333,78.8,73,26,14.97
92,Torbay,CA,2021-03-30 21:03:37,47.6666,-52.7314,30.99,55,75,23.02
93,Sandovo,RU,2021-03-30 21:03:37,58.4602,36.4128,38.5,97,100,11.3
94,Gazojak,TM,2021-03-30 21:03:38,41.1875,61.4036,50.05,49,67,7.87
95,Severo-Kurilsk,RU,2021-03-30 21:03:38,50.6789,156.125,35.89,93,82,5.39
96,Dalmatovo,RU,2021-03-30 21:03:38,56.26,62.9362,26.17,93,99,6.8
97,Pryozerne,UA,2021-03-30 21:03:39,45.2698,36.3303,40.66,84,88,13.51
98,Baherden,TM,2021-03-30 21:03:39,38.4362,57.4316,53.02,45,0,5.32
99,Havoysund,NO,2021-03-30 21:03:39,70.9963,24.6622,35.6,87,75,6.91
100,New Norfolk,AU,2021-03-30 21:03:40,-42.7826,147.0587,55.99,73,84,2.98
101,Arroyo,ES,2021-03-30 21:03:40,41.6096,-4.7969,57.99,50,0,3.44
102,La Pila,MX,2021-03-30 21:03:40,22.05,-100.8667,84.2,12,75,5.75
103,Wonthaggi,AU,2021-03-30 21:03:40,-38.6044,145.5913,57.0,93,92,5.01
104,Hobart,AU,2021-03-30 20:58:46,-42.8794,147.3294,55.99,82,75,8.05
105,Verkhoyansk,RU,2021-03-30 21:03:41,67.5447,133.385,-7.29,99,100,1.77
106,Ipatovo,RU,2021-03-30 21:03:41,45.7181,42.9036,41.25,69,100,13.73
107,Andenes,NO,2021-03-30 21:03:41,69.3143,16.1194,39.2,87,69,18.41
108,Shingu,JP,2021-03-30 21:03:42,33.7333,135.9833,51.69,75,0,6.26
109,Sao Filipe,CV,2021-03-30 21:03:42,14.8961,-24.4956,70.56,75,4,6.62
110,Honningsvag,NO,2021-03-30 21:03:10,70.9821,25.9704,35.6,87,75,16.11
111,Maputo,MZ,2021-03-30 21:03:42,-25.9653,32.5892,69.8,83,0,5.75
112,Tacuarembo,UY,2021-03-30 21:03:42,-31.7333,-55.9833,70.48,59,0,6.26
113,Payakumbuh,ID,2021-03-30 21:03:43,-0.2202,100.6308,68.54,94,97,3.94
114,Salalah,OM,2021-03-30 21:03:43,17.0151,54.0924,80.6,57,0,3.44
115,Wewak,PG,2021-03-30 21:03:43,-3.5534,143.6268,77.97,86,100,3.49
116,Hermanus,ZA,2021-03-30 21:03:44,-34.4187,19.2345,57.0,91,4,6.82
117,Pitimbu,BR,2021-03-30 21:03:44,-7.4706,-34.8086,80.6,83,0,8.05
118,Aginskoye,RU,2021-03-30 21:03:44,51.1,114.53,31.96,76,11,4.0
119,Kapaa,US,2021-03-30 21:02:11,22.0752,-159.319,77.0,78,75,14.97
120,Codrington,AU,2021-03-30 21:03:45,-38.2667,141.9667,53.28,89,92,5.46
121,Kushalgarh,IN,2021-03-30 21:03:45,23.199,74.4507,78.44,41,0,9.55
122,Mankono,CI,2021-03-30 21:03:45,8.0586,-6.1897,85.51,40,75,3.74
123,Klaksvik,FO,2021-03-30 21:03:45,62.2266,-6.589,35.6,75,75,11.5
124,Mackenzie,CA,2021-03-30 21:03:46,55.2999,-123.1698,35.6,55,90,10.36
125,Chokurdakh,RU,2021-03-30 21:03:46,70.6333,147.9167,-15.0,100,85,1.86
126,Sisimiut,GL,2021-03-30 21:03:46,66.9395,-53.6735,32.14,96,100,14.29
127,La Ronge,CA,2021-03-30 21:03:47,55.1001,-105.2842,15.8,48,91,5.75
128,La Palma,US,2021-03-30 21:03:47,33.8464,-118.0467,73.4,60,1,9.22
129,Yinchuan,CN,2021-03-30 21:03:47,38.4681,106.2731,41.0,74,100,5.01
130,Porto Walter,BR,2021-03-30 21:03:48,-8.2686,-72.7439,80.28,93,100,1.59
131,Tautira,PF,2021-03-30 21:03:48,-17.7333,-149.15,87.8,62,20,9.22
132,Ust-Maya,RU,2021-03-30 21:03:48,60.4167,134.5333,2.53,99,88,2.95
133,Sosnovo-Ozerskoye,RU,2021-03-30 21:03:48,52.5249,111.5418,26.08,88,99,9.69
134,Yaan,NG,2021-03-30 21:03:49,7.3833,8.5667,88.36,13,0,4.7
135,Sao Joao Da Barra,BR,2021-03-30 21:03:49,-21.6403,-41.0511,80.6,78,40,9.22
136,Balsas,BR,2021-03-30 21:00:28,-7.5325,-46.0356,79.07,82,87,3.98
137,Derzhavinsk,KZ,2021-03-30 21:03:49,51.1,66.3167,12.9,97,87,7.31
138,Hay River,CA,2021-03-30 21:03:50,60.8156,-115.7999,21.2,45,93,9.22
139,Tasiilaq,GL,2021-03-30 21:03:50,65.6145,-37.6368,26.6,68,90,4.61
140,Cayenne,GF,2021-03-30 21:03:50,4.9333,-52.3333,82.4,74,75,11.5
141,Dikson,RU,2021-03-30 21:03:50,73.5069,80.5464,-27.17,96,6,4.76
142,Jalu,LY,2021-03-30 21:03:51,29.0331,21.5482,60.08,59,8,16.08
143,Fasa,IR,2021-03-30 20:59:17,28.9383,53.6482,62.6,29,0,4.61
144,Shimoda,JP,2021-03-30 21:03:51,34.6667,138.95,54.0,90,18,13.49
145,Fortuna,US,2021-03-30 21:03:52,40.5982,-124.1573,62.01,58,1,12.66
146,Esperance,AU,2021-03-30 21:03:52,-33.8667,121.9,62.6,94,4,8.05
147,Rafaela,AR,2021-03-30 21:03:52,-31.2503,-61.4867,77.0,38,0,4.0
148,Broken Hill,AU,2021-03-30 21:03:52,-31.95,141.4333,57.2,54,2,9.48
149,Tigzirt,DZ,2021-03-30 21:03:53,36.8886,4.1198,61.38,70,100,9.95
150,Hithadhoo,MV,2021-03-30 21:03:53,-0.6,73.0833,83.41,75,76,18.05
151,Kula,TR,2021-03-30 21:03:53,38.5473,28.6498,35.64,93,100,4.32
152,Artyom,AZ,2021-03-30 21:03:54,40.4723,50.333,42.8,100,96,4.61
153,Poum,NC,2021-03-30 21:03:54,-20.2333,164.0167,78.62,74,93,13.56
154,Biharamulo,TZ,2021-03-30 21:03:54,-2.6319,31.3089,59.47,97,92,2.55
155,Jaciara,BR,2021-03-30 21:03:54,-15.9653,-54.9683,82.63,56,5,2.42
156,Atuona,PF,2021-03-30 21:03:55,-9.8,-139.0333,80.4,77,93,18.34
157,Mount Gambier,AU,2021-03-30 21:00:14,-37.8333,140.7667,44.6,100,90,3.22
158,Waddan,LY,2021-03-30 21:03:55,29.1614,16.139,59.68,37,14,13.89
159,Bengkulu,ID,2021-03-30 21:03:56,-3.8004,102.2655,74.34,89,100,4.29
160,Elko,US,2021-03-30 20:59:53,41.0002,-115.5012,44.01,22,1,4.61
161,Berbera,SO,2021-03-30 21:03:56,10.4396,45.0143,78.64,70,53,1.01
162,Tuatapere,NZ,2021-03-30 21:03:56,-46.1333,167.6833,55.99,98,66,1.01
163,Rio Cuarto,AR,2021-03-30 21:03:57,-33.1307,-64.3499,78.8,36,0,18.41
164,Mangrol,IN,2021-03-30 21:03:57,21.1167,70.1167,77.41,83,10,9.98
165,Longyearbyen,SJ,2021-03-30 21:03:09,78.2186,15.6401,26.6,74,75,8.05
166,Neiafu,TO,2021-03-30 21:03:57,-18.65,-173.9833,84.2,79,40,8.05
167,Henties Bay,NA,2021-03-30 21:03:57,-22.116,14.2845,62.01,90,7,5.01
168,Brebeni,RO,2021-03-30 21:03:58,44.3667,24.45,52.0,66,0,3.44
169,Nguruka,TZ,2021-03-30 21:03:58,-5.1092,31.0419,62.44,94,90,2.37
170,Lebu,CL,2021-03-30 21:03:58,-37.6167,-73.65,60.37,82,15,10.92
171,Menomonie,US,2021-03-30 21:03:59,44.8755,-91.9193,39.99,35,40,18.41
172,Pishin,PK,2021-03-30 21:03:59,30.5803,66.9961,52.16,22,0,7.18
173,Carthage,TN,2021-03-30 21:03:59,36.8611,10.3316,57.2,88,20,3.44
174,Telhara,IN,2021-03-30 21:03:59,21.0269,76.8389,81.93,17,50,8.19
175,Arrifes,PT,2021-03-30 21:04:00,37.7667,-25.7,59.0,88,20,8.05
176,Puerto Madryn,AR,2021-03-30 21:04:00,-42.7692,-65.0385,76.05,33,100,22.32
177,Vilhena,BR,2021-03-30 21:04:00,-12.7406,-60.1458,75.2,88,75,5.75
178,Maniitsoq,GL,2021-03-30 21:04:01,65.4167,-52.9,32.68,97,100,41.11
179,Saint George,US,2021-03-30 21:04:01,37.1041,-113.5841,62.01,11,1,3.44
180,Tarata,BO,2021-03-30 21:04:01,-17.6167,-66.0167,75.2,31,75,4.61
181,Roma,US,2021-03-30 21:02:41,43.2128,-75.4557,68.0,22,1,19.57
182,Ryde,GB,2021-03-30 21:04:02,50.73,-1.1621,51.01,84,0,3.0
183,Thompson,CA,2021-03-30 21:04:02,55.7435,-97.8558,8.6,43,75,16.11
184,Killam,CA,2021-03-30 21:00:13,52.7834,-111.8518,28.4,46,59,11.5
185,Pacifica,US,2021-03-30 21:04:02,37.6138,-122.4869,73.4,16,1,4.61
186,Bluff,NZ,2021-03-30 21:04:02,-46.6,168.3333,55.99,98,36,1.01
187,Lompoc,US,2021-03-30 21:04:03,34.6391,-120.4579,72.0,43,3,13.8
188,Carauari,BR,2021-03-30 21:04:03,-4.8828,-66.8958,73.44,99,100,2.24
189,Prieska,ZA,2021-03-30 21:04:03,-29.6641,22.7474,77.11,37,20,6.11
190,Lana,IT,2021-03-30 21:04:04,46.6124,11.1559,59.0,44,0,2.3
191,Jinchang,CN,2021-03-30 21:04:04,38.4953,102.1739,39.04,88,100,7.47
192,Naze,JP,2021-03-30 21:04:04,28.3667,129.4833,65.37,88,99,7.43
193,Pevek,RU,2021-03-30 21:04:05,69.7008,170.3133,-13.97,99,95,7.96
